company,product_name,rating,category,country,county,cat_code,alpha_3,country_code,region,sub_region,region_code,sub_region_code
Laiteries H. Triballa,Picandou L'Original,GOLD,Soft goats’ milk cheese plain – fresh,France,,5001,FRA,250,Europe,Western Europe,150,155
Fromageries Lescure (Savencia),ISLOS GREEK GOAT CHEESE 150G,BRONZE,Soft goats’ milk cheese plain – fresh,Greece,,5001,GRC,300,Europe,Southern Europe,150,39
Casale Roccolo azienda agricola biologica,Caprino Fresco CASALE ROCCOLO,SILVER,Soft goats’ milk cheese plain – fresh,Italy,,5001,ITA,380,Europe,Southern Europe,150,39
DeJong Ch,Alphenaer Crumbled Goats Cheese Natural  View  Stockists,BRONZE,Soft goats’ milk cheese plain – fresh,Netherlands,,5001,NLD,528,Europe,Western Europe,150,155
DeJong Ch,Alphenaer Spreadable Goats Cheese Natural  View  Stockists,BRONZE,Soft goats’ milk cheese plain – fresh,Netherlands,,5001,NLD,528,Europe,Western Europe,150,155
Arias - Savencia,Flor de Ronda,BRONZE,Soft goats’ milk cheese plain – fresh,Spain,,5001,ESP,724,Europe,Southern Europe,150,39
PRODUCTOS ALIMENTARIOS QUESÍ S.L,Queso Fresco de Cabra,BRONZE,Soft goats’ milk cheese plain – fresh,Spain,,5001,ESP,724,Europe,Southern Europe,150,39
Queseria Valdehorno,VALDEHORNOS Fresco,BRONZE,Soft goats’ milk cheese plain – fresh,Spain,,5001,ESP,724,Europe,Southern Europe,150,39
Lacteas Cobreros S.A.,Rulo natural de cabra 100g precortado Cobreros,BRONZE,Soft goats’ milk cheese plain – fresh,Spain,,5001,ESP,724,Europe,Southern Europe,150,39
Lacteos Romero Pelaez SI (Quesos Y Besos),QUESO FRESCO QUESOS Y BESOS,BRONZE,Soft goats’ milk cheese plain – fresh,Spain,,5001,ESP,724,Europe,Southern Europe,150,39
"Quesos Corcuera, S.L",QUESO ECOLOGICO DE CABRA LA CELESTINA,BRONZE,Soft goats’ milk cheese plain – fresh,Spain,,5001,ESP,724,Europe,Southern Europe,150,39
Lácteas Castellano-Leonesas S.A,Queso para untar de cabra Reny Picot,BRONZE,Soft goats’ milk cheese plain – fresh,Spain,,5001,ESP,724,Europe,Southern Europe,150,39
Sabores de tallan,PAÑO FRESCO DE CABRA ARTESANO,BRONZE,Soft goats’ milk cheese plain – fresh,Spain,,5001,ESP,724,Europe,Southern Europe,150,39
Quesos San Mateo,Queso fresco de cabra SAN MATEO,SILVER,Soft goats’ milk cheese plain – fresh,Spain,,5001,ESP,724,Europe,Southern Europe,150,39
